Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date,
530,529,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,13-Feb-22
531,530,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,11-Feb-22
532,531,Pune,Pune,Cabbage,Other,FAQ,1200,2200,1700,10-Feb-22
533,532,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,09-Feb-22
534,533,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,08-Feb-22
535,534,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,07-Feb-22
536,535,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,06-Feb-22
537,536,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,04-Feb-22
538,537,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,03-Feb-22
539,538,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,30-Jan-22
540,539,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,28-Jan-22
541,540,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,27-Jan-22
542,541,Pune,Pune,Cabbage,Other,FAQ,1200,2000,1600,25-Jan-22
543,542,Pune,Pune,Cabbage,Other,FAQ,1200,2000,1600,24-Jan-22
544,543,Pune,Pune,Cabbage,Other,FAQ,1400,2000,1700,23-Jan-22
545,544,Pune,Pune,Cabbage,Other,FAQ,1200,2000,1600,21-Jan-22
546,545,Pune,Pune,Cabbage,Other,FAQ,1000,2000,1500,20-Jan-22
547,546,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,19-Jan-22
548,547,Pune,Pune,Cabbage,Other,FAQ,1200,2000,1600,18-Jan-22
549,548,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,17-Jan-22
550,549,Pune,Pune,Cabbage,Other,FAQ,1500,2800,2150,16-Jan-22
551,550,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,14-Jan-22
552,551,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,12-Jan-22
553,552,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,11-Jan-22
554,553,Pune,Pune,Cabbage,Other,FAQ,1500,2000,1750,10-Jan-22
555,554,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,09-Jan-22
556,555,Pune,Pune,Cabbage,Other,FAQ,1600,3000,2500,07-Jan-22
557,556,Pune,Pune,Cabbage,Other,FAQ,1500,2500,2000,05-Jan-22
558,557,Pune,Pune,Cabbage,Other,FAQ,1500,3000,2250,04-Jan-22
559,558,Pune,Pune,Cabbage,Other,FAQ,2000,3000,2500,03-Jan-22
560,559,Pune,Pune,Cabbage,Other,FAQ,2000,2500,2250,02-Jan-22
